conversation_set_id,conversation_id,conversation_date,highlight_id,highlight_start,highlight_end,highlight_words,neighborhood,theme,subtheme,highlight_duration,highlight_scale
80,1555,2021-10-19,4704210,1884.0,1918.7,"I'm interested because where I live in the South End there are some homeless shelters, and I see a lot of homeless just wasting time and up to no good all day long. It got particularly bad with Medicos, I don't know something about Long Island Shelter closed down. However, you just have a long street filled with tents. People hanging out, doing drugs, drinking alcohol. It's very bad. It's even worse than what Mediros is.",allston,"['institutions', 'public health', 'housing']","['processes', 'institutional resources', 'drugs and drug use disorder', 'trauma', 'quality and affordable healthcare', 'housing instability']",34.700000000000045,69.40000000000009
80,1555,2021-10-19,5245482,2799.4,2840.2,"I want it to be better than this. I want it to be much better than it is, but it doesn't seem like it is. It seems like it is getting worse, not better. Can you hear me. Yes, thank you so much. I'm sorry, I'm nodding my head. Of course, you can't see me. Okay. I'm sorry about that. That's okay, but it's a lot of crime, people running over people. You know what really bothers me, how they are killing these kids, they are killing our babies. I don't know if they are kidnapping our babies. This world is just getting ugly.",allston,"['community trends', 'institutions', 'safety']","['hopeful', 'expectations', 'accountability', 'sense of safety']",40.79999999999973,81.59999999999945
80,1620,2021-11-12,5242780,1191.6,1205.8,"I was going to touch into cost of living is outrageous and the wages, the amount of money we get, doesn't equivalent. It's very difficult, especially everything through inflation. And I say wages not equivalent to that.",allston,['economic opportunity'],"['jobs', 'income']",14.200000000000045,28.40000000000009
80,1555,2021-10-19,5245480,2615.8,2661.0,"A question I have for the future of Boston, this Corona Virus is still confusing. I still don't know what is what, all I know is that everyone was required to get two vaccine shots. Except for the children, and now they are trying to make the children get the shots. Then I heard a rumor now we need to get the booster, and the two vaccine shots aren't efficient. Hello?",allston,"['institutions', 'public health']","['processes', 'quality and affordable healthcare', 'covid-19']",45.19999999999982,90.39999999999964
80,1555,2021-10-19,5245479,2544.8,2584.5,"You know I have been through so much in my 32 years in my life on this earth, that I can say a lot has resonated with me. But, we are not here to talk about me. We are not here to figure out how much trauma I have had, and how much trauma I am still dealing with. I truly live my life for my kids. My kids are what keep me going, and if it wasn't for them I can honestly say I would not be here.",allston,['public health'],"['mental health', 'trauma']",39.69999999999982,79.39999999999964
80,1555,2021-10-19,5245478,2247.7,2447.8,"Okay, Roxanne and Galaxy. Well, I can identify with what they are really saying about the homelessness, and about Mass Ave. I work in that area and it has never been like that, and it is really sad that people are not taking the heat to what's really going on. These are human beings and they do have problems that we all have. Some of us can come up out of it, and some of us can not. They are homeless, but they are allowing them to live in the street, and not giving them the stuff that they need in order to get well. I work in that area, and I see the tents, I walk by the tents. I feed the hungry at my job. The hungry, I mean I feed families at my job where I'm at. Every morning when I go there at 6:30. In the park, all I see is a lot of tents. They are beautiful people. I talk to them, and when you look at them and you hear their story. As small as a mustard seed of what happened to them, and all they are asking for is help. Basically the city should be ashamed of themselves in that we have a big population of the homeless that's in Boston. Now, back in the day, I had a sister that was out there too. It was a long time ago, and a sister is someone that you really love and you really want to do what you can, but you can never understand her situation. So I feel really bad for them, because they do have families like my sister did. But that is what she chose to do. Just like the both of you said, we need to help. That should be number one of every ones list, to try to get help for these young men and young women. That's part of homelessness, and Boston has never been like that before. It's okay. One quick thing, I think that... I think that, we are all on here today, they need people like us to help absolve this homeless problem. We could be homeless in a minute, just like Mrs. Webb said. We can, but we have the tools to help these people. We are sitting in our homes, we are looking at the news and we are trying to understand what's going on, and we got the answer here, but we can't voice our opinions. So I do feel for Mrs. Webb because she was homeless for a minute, but she thought about her children, and she didn't think about herself. I feel what Gray and Galaxy are saying about the homeless, and I do applaud them, I really do. For thinking that way, I really do.",allston,"['community trends', 'institutions', 'public health', 'housing', 'community life', 'inequality']","['unjust', 'lack of action', 'accountability', 'institutional resources', 'drugs and drug use disorder', 'housing instability', 'call to action', 'resident actions', 'class-based']",200.10000000000036,400.2000000000007
80,1555,2021-10-19,4704209,1876.3,1882.4,my question is what are they going to do about the homeless population,allston,['housing'],['housing instability'],6.100000000000136,12.200000000000273
80,1555,2021-10-19,4704208,1783.2,1825.2,"said this because I was evicted after they raised my rent without warning. They gave me no knowledge, no letter in the mail, no call to the office, nothing. I lived in High Park at the time. This was my first apartment, my first time moving. I'm paying the same amount of rent, that they told me it was from the beginning. My recertification wasn't for another four months, and I was kicked out of an apartment with a six year old, an eight year old, and a newborn baby, and they didn't care.",allston,"['institutions', 'housing']","['accountability', 'processes', 'housing affordability', 'housing instability']",42.0,84.0
80,1555,2021-10-19,5245484,3024.3,3136.2,"Boston is not going to teach us anymore. They are out there changing the world. Putting those satellites, changing sidewalks, putting down pipes, and we don't know what they're doing. We are just seeing all this stuff. So, Janet we have to stock what is in our homes. I feel you, and I have been there, I'm still there. I'm coming up out of it, and guess what. I'm going to be so strong and rich because of the fact, I am teaching and showing my children how to survive. When we were shut down with Covid, we didn't think about anything. How are we going to survive, we need money. We've got to do this, we've got to do that, but we did not mentally think about what's happening to the parents in order to keep our children safe. They were safe they were in our homes, but one day we would have to come out of our homes, and everything is different now. Janet, you are absolutely right sweetheart. I am still there, I still feel that way, but I can't carry it. I can't carry this every day. I have to make something good happen in my life that will reflect off of my grandkids, and off of myself. Then I will be able to live my best life, and say, ""listen, that's all I'm doing. Living my best life."" That's it, whatever happens out there happens, as long as I have food, a first aid kit. As long as I've got this and I've got that. They shut you down in your house. They wanted you to get prepared, and we weren't prepared. Boston is getting prepared without us. I understand what you are saying I really do.",allston,"['institutions', 'public health', 'safety', 'infrastructure', 'education', 'inequality']","['processes', 'covid-19', 'sense of safety', 'transportation', 'life skills', 'race-based', 'class-based']",111.89999999999964,223.79999999999927
80,1620,2021-11-12,5242781,1208.3,1372.1,"While I was younger, as a student, I was struggling a lot. That's why I was a workaholic, working a lot, trying to make a living, doing it on my own. Then I had a disability, as I was talking a little earlier and stopped me from being a workaholic, I have a master's degree. And also, I do holistic as well too. So I do many different things. And being single, being Asian, first generation, is very. Being a struggle, I move in different towns in Boston. I'm reaching for Brookline and now I'm in Allston. But Brookline, I still consider Brookline and stuff. So that's why I was hesitant to say anything about where I live, because different towns are slightly different. I worked in different towns as a case manager too. So I know how it is working with families [inaudible]. I was a case manager at the DCF and all that. So I had that experience working with them and knowing that, and me now living here, it's totally different, even though it's a town over. So that's why I have many different skills and jobs just to survive, especially on your own, doing it. And just continue doing it and continue education, times change. But it's very difficult and it's yeah, it's very difficult, especially a woman and being minority, they still see that and there's still stereotypes. What you should do, what you shouldn't do and being first generation is very difficult because everyone in my family's married and have kids and I'm single, much later in life than everyone here. Even though I might look young, I have the energy more of younger stuff. I have more energy earlier, it's more a quiet time. Yeah, so it's a very difficult and being disabled somewhat, I can say right now, it's a struggle because I don't get benefits. The disabled person to have stereotype. I have to still work really hard and justify if I do get anything, every year's review. So it's a very hard struggle doing that, on top of you were struggling early trying to make a living here, buying a place on your own and stuff. And not getting much help, being single, is not nice because people have kids, they get all these benefits, right? Everyone's to their own, but for me, being single, you don't get benefits. Now, people get benefits and have kids, right? So they have the extra money and stuff coming in, right? Single ones are the ones you see they're struggling working right now with COVID going because they have to. So it's very difficult and it's unfair really. So hopefully that does change and there's more incentive for being single and being happy being single. You don't have to necessarily be married, or a couple, or anything like that. Everyone's to its own, but they should have more benefits to that sense and for minorities, thank you.",allston,"['public health', 'housing', 'economic opportunity', 'inequality']","['quality and affordable healthcare', 'covid-19', 'homeownership', 'housing affordability', 'jobs', 'income', 'race-based', 'class-based']",163.79999999999995,327.5999999999999
